"orgid","organization","co_sponsor","type","location_name","location_address","city","state","zip_code","frequency","day","times","year_round_or_dates","name","email","phone","website","registration_contact","description","eligibility_requirements","eligibility_requirement","no_photo_id_required","no_registration_required","restricted_access_only_members_of_these_communities","age_restrictions_for_children_or_families_of_children_only","age_restrictions_for_seniors_only","income_maximum_for_eligibility","delivery_available","prepared_meals","grocery_items","fresh_produce","accepts_snap","languages_spoken_other_than_english","other_services_provided_diapers","other_services_provided_baby_formula","other_services_provided_financial_assistance","other_services_provided_clothing","other_services_provided","metro","bus","AUTO_UNIQUE_ID_2021-09-27_fhernandez_UI_Food_resources","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType"
"26","Arlington Public Schools","NA","School meals","Gunston Middle School","2700 S. Lang St.","Arlington","Virginia","22206","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 87; Metrobus 10A/B, 23A/B",26,"USCGeocoder",93.7577,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","79579.8705310456","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.847957311499,-77.0687335899499,"Relaxed"
"27","Arlington Public Schools","NA","School meals","Hoffman-Boston Elementary School","1415 S. Queen St.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 42; Metrobus 16A/C/E/G,",27,"USCGeocoder",46.8736,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1718.72727953224","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8615363553958,-77.0725317646187,"Exact"
"28","Arlington Public Schools","NA","School meals","Kenmore Middle School","200 S. Carlin Springs Rd.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","Art 75; Metrobus 4B, 25B",28,"USCGeocoder",31.2486,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2056.96005287848","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8644991683536,-77.1288181521155,"Exact"
"29","Arlington Public Schools","NA","School meals","Randolph Elementary School","1306 S. Quincy St.","Arlington","Virginia","22204","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 41, 45, 72, 84; Metrobus 16A/C/E/G/H, 22A/B",29,"USCGeocoder",78.129,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3487.4409421155","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8569638728626,-77.0979610929908,"Exact"
"30","Arlington Public Schools","NA","School meals","The Heights","1601 Wilson Blvd.","Arlington","Virginia","22209","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","Rosslyn/Courthouse","ART 41, 45, 55, 77; Metrobus 4B, 5A, 38B",30,"USCGeocoder",78.1267,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","10382.0413817167","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8948329831389,-77.0776145322613,"Exact"
"31","Arlington Public Schools","NA","School meals","Yorktown High School","5200 Yorktown Blvd.","Arlington","Virginia","22207","3 times weekly","Mon/Wed/Fri, July 7 until school starts","11 AM - 12 PM","July 7 until school starts","Amy Maclosky","amy.maclosky@apsva.us","703-228-6133","https://www.apsva.us/school-year-2020-21/meal-services/","N/A","Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.","Child under 18","1","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","NA","ART 52",31,"USCGeocoder",125.0041,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","7224.00815360749","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.90347066399,-77.13942418655,"Relaxed"
"32","Arlington Salvation Army","NA","Food pantry","Salvation Army of Arlington","518 S. Glebe Rd","Arlington","Virginia","22204","Weekly. Participants can come once a month","Thursday","9:30-11:30 AM and 1:30-3:30 PM","Year-round","Wes Vanderburgh","wesley.vanderburgh@uss.salvationarmy.org","703-979-3380","https://salvationarmynca.org/arlington-va/","In person at first visit","Regular offerings include cereal, rice, beans, canned vegetables, pasta. Occasionally also have protein, eggs, and fresh produce. Registered clients can come once per month. Also provides diapers.","Bring photo ID on first visit, and fill out an application. Must live in Virginia. To receive diapers, bring an identification for the child (birth certificate, social security card, insurance card, etc.)","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","NA","ART 41, 77; Metrobus 10B 23A/B/T",32,"USCGeocoder",15.6308,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2839.95276004076","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8664881430062,-77.0954011698359,"Relaxed"
"33","Ballston Farmer's Market","FreshFarm","Discount groceries","Welburn Square","901 N Taylor St","Arlington","Virginia","22203","Weekly","Thursday","3 - 7 PM","April 1 - Nov. 18","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.freshfarm.org/markets/ballston","N/A","All FRESHFARM markets accept SNAP/EBT, WIC and Senior FMNP checks. FRESH Match provides a dollar-for-dollar match on all federal benefits spent at market.","NA","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","NA","ART 41, 42, 51; Metrobus 1A, 2A, 10B, 22A, 23A/B/T, 25B, 38B",33,"USCGeocoder",15.6211,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5087.00743321679","LinearInterpolationAddressRange","StreetSegment","96.0059171597633","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8811428895949,-77.1124927176744,"Relaxed"
"34","Capital Area Food Bank","NA","Food pantry","Arlington Mill Community Center","909 S Dinwiddie St","Arlington","Virginia","22204","Monthly","3rd Saturday of the month","0.375","Year-round","Eleni Rigsby","erigsby@capitalareafoodbank.org","571-482-4770","NA","N/A","Fresh produce and shelf stable pantry items. First come, first served.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A",34,"USCGeocoder",15.6227,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2260.238649935","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8566709110171,-77.1126405117966,"Exact"
"35","Capital Area Food Bank","Communities in Schools of Northern Virginia","Food pantry","Women's Club of Arlington","700 S Buchanan St","Arlington","Virginia","22204","Monthly","2nd Thursday of the month","3 - 5 PM","Year-round","Eleni Rigsby","erigsby@capitalareafoodbank.org","571-482-4770","NA","N/A","Fresh produce and shelf stable pantry items. First come, first served.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","NA","0","0","0","0","0","NA","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A",35,"USCGeocoder",46.8725,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","2694.74075578153","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8600510889772,-77.1105915467529,"Relaxed"
"36","Capital Area Food Bank","USO","Food pantry","Joint Base Myer-Henderson Hall Community Center","228 McNair Rd","Arlington","Virginia","22211","Monthly","3rd Thursday of the Month","11:30 AM-1:30 PM
11:30 AM - 12:30 PM Active Duty
12:30 - 1:30 PM Retirees, veterans, and families","Year-round","Kristi Pappas","kristi.p.pappas@mail.mil","703-696-2178","NA","N/A","Fresh produce and shelf stable pantry items","Active Duty military, veterans and their families. Must show ID to get on post.","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 42, 47 (across Rt. 50)",36,"USCGeocoder",31.25,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","11603.0819555034","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8797704004675,-77.080237811041,"Exact"
"37","Capital Area Food Bank","NA","Food pantry","Cathedral of St. Thomas More","3901 Cathedral Ln","Arlington","Virginia","22203","Monthly","3rd Thursday of the Month","5 - 7 PM","Year-round","Eleni Rigsby","erigsby@capitalareafoodbank.org","571-482-4770","NA","N/A","Fresh produce and shelf stable pantry items. First come, first served.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41, 72; Metrobus 4B, 10B, 22A, 23A/B/T",37,"USCGeocoder",62.5,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6734.01069200831","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8707790748005,-77.1026689122165,"Relaxed"
"38","Capital Area Food Bank","NA","Food pantry","Mt. Olive Baptist Church","1601 13th Rd. S","Arlington","Virginia","22204","Monthly","3rd Saturday of the month","10 AM - 12 PM","Year-round","Eleni Rigsby","erigsby@capitalareafoodbank.org","571-482-4770","NA","N/A","Fresh produce and shelf stable pantry items. First come, first served.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 42; Metrobus 16A/C/E/G/H,",38,"USCGeocoder",156.2852,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2410.90753922937","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8625592895947,-77.070778798315,"Exact"
"39","Senior Brown Bag Program by Capital Area Food Bank","NA","Food pantry","Lockwood Elmwood House Apartments","600 N Madison St","Arlington","Virginia","22203","Monthly","3rd Tuesday of the month","NA","Year-round","Amanda Mayer","amayer@capitalareafoodbank.org","202-644-9834","NA","NA","Senior Brown Bag Program - A 9-10 lb bag of dry goods (canned fruits/vegetables, grains, canned protein), a fresh produce item and a cold or frozen protein item (eggs, frozen meat or fish) when available.Â Distributes USDA commodities through the TEFAP pr","Open to senior residents of this apartment building that are income eligible.","1","0","0","1","0","1","1","0","0","1","1","0","0","0","0","0","0","0","NA","Metrobus 1A, 4B",39,"USCGeocoder",46.8755,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","6824.7232246215","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.869762263114,-77.1417346646366,"Exact"
"40","Senior Brown Bag Program by Capital Area Food Bank","NA","Food pantry","Colonial Village West","2111 Key Blvd","Arlington","Virginia","22201","Monthly","3rd Wednesday of the month","NA","Year-round","Amanda Mayer","amayer@capitalareafoodbank.org","202-644-9835","NA","NA","Senior Brown Bag Program - A 9-10 lb bag of dry goods (canned fruits/vegetables, grains, canned protein), a fresh produce item and a cold or frozen protein item (eggs, frozen meat or fish) when available.Â Distributes USDA commodities through the TEFAP pr","Open to senior residents of this apartment building that are income eligible.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Courthouse","ART 55, Metrobus 4B, 38B",40,"USCGeocoder",46.8811,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3028.63315472612","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8937994124338,-77.0849358231221,"Relaxed"
"41","Senior Brown Bag Program by Capital Area Food Bank","NA","Food pantry","Hunters Park Senior Apartments (AHC)","2021 N. Nelson St","Arlington","Virginia","22207","Monthly","3rd Wednesday of the month","NA","Year-round","Amanda Mayer","amayer@capitalareafoodbank.org","202-644-9836","NA","NA","Senior Brown Bag Program - A 9-10 lb bag of dry goods (canned fruits/vegetables, grains, canned protein), a fresh produce item and a cold or frozen protein item (eggs, frozen meat or fish) when available.Â Distributes USDA commodities through the TEFAP pr","Open to senior residents of this apartment building that are income eligible.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","ART 55",41,"USCGeocoder",15.6223,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","5295.74759809021","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8952726823757,-77.1051704282476,"Exact"
"42","Senior Brown Bag Program by Capital Area Food Bank","NA","Food pantry","Harvey Hall Apartments","860 S Greenbrier St","Arlington","Virginia","22204","Monthly","4th Wednesday of the month","NA","Year-round","Amanda Mayer","amayer@capitalareafoodbank.org","202-644-9837","NA","NA","Senior Brown Bag Program - A 9-10 lb bag of dry goods (canned fruits/vegetables, grains, canned protein), a fresh produce item and a cold or frozen protein item (eggs, frozen meat or fish) when available.Â Distributes USDA commodities through the TEFAP pr","Open to senior residents of this apartment building that are income eligible.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","ART 41, 45; Metrobus 16A/C/E/G/H, 25B, 28A",42,"USCGeocoder",46.8773,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","560.573633268476","ArealInterpolationGeometricCentroid","Parcel","95.3254437869822","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8780278374651,-77.1258932606845,"Relaxed"
"43","Senior Brown Bag Program by Capital Area Food Bank","NA","Food pantry","The Shelton (AHC)","3215 24th St S","Arlington","Virginia","22206","Monthly","4th Wednesday of the month","NA","Year-round","Amanda Mayer","amayer@capitalareafoodbank.org","202-644-9838","NA","NA","Senior Brown Bag Program - A 9-10 lb bag of dry goods (canned fruits/vegetables, grains, canned protein), a fresh produce item and a cold or frozen protein item (eggs, frozen meat or fish) when available.Â Distributes USDA commodities through the TEFAP pr","Open to senior residents of this apartment building that are income eligible.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","ART 75, 77, 84, 87; Metrobus 10B, 23A/B/T",43,"USCGeocoder",46.8815,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1601.30180216371","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8486356439544,-77.0841890669653,"Exact"
"44","Claremont Elementary School PTA","NA","Food pantry","Claremont Elementary School","4700 S Chesterfield Rd","Arlington","Virginia","22206","Once every 3 weeks","Monday","4 - 5:30 PM","Year-round","Melissa Schwaber Hawkins","melissaschwaber@gmail.com","NA","https://claremontpta.membershiptoolkit.com/foodpantry","Will need to tell name of Claremont student when picking up food.","NA","A child enrolled at Claremont Immersion School","1","1","0","1","1","0","0","0","0","1","0","0","NA","0","0","0","0","0","NA","ART 72, 75; Metrobus 22A",44,"USCGeocoder",46.8756,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","59887.5169740617","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8477736758051,-77.1052595194431,"Relaxed"
"45","CPRO","Arlington Presbyterian Church","Food pantry","Gilliam Place","918 S Lincoln St","Arlington","Virginia","22204","Weekly","NA","NA","April-October","Amy McWilliams","amcwilliams@columbiapike.org","NA","NA","NA","NA","NA","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41, 45; Metrobus 16E/G/H, 23A/B/T",45,"USCGeocoder",46.8739,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3324.31976915302","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8620804495411,-77.0933952750568,"Exact"
"46","Columbia Pike Farmer's Market","CPRO","Discount groceries","Fillmore Shopping Center parking lot","2705 Columbia Pike","Arlington","Virginia","22204","Weekly","Sunday","8:30 - 11:30 AM","Year-round","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.columbiapikefarmersmarket.org/","N/A","The Columbia Pike Farmers Market partners with the INOVA Health Foundation to provide the SNAP Double Dollars Program. Shoppers using their Viriginia EBT card can receive up to $20 in matching funds for use at the market.","NA","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","NA","ART 41, 42, 45, 77; Metrobus 16A/C/E/G, 23A/B/T",46,"USCGeocoder",31.2535,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","2833.1227296975","LinearInterpolationAddressRange","StreetSegment","97.9289940828402","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8629663256007,-77.0858132097184,"Relaxed"
"47","Crystal City Farmer's Market","FreshFarm","Discount groceries","Crystal City Courtyard Green","2011 Crystal Dr","Arlington","Virginia","22202","Weekly","Tuesday","3 - 7 PM","April 6 - Nov. 23","Kim Haun","Khaun@arlingtonva.us","703-228-7872","https://www.freshfarm.org/markets/crystal-city","N/A","All FRESHFARM markets accept SNAP/EBT, WIC and Senior FMNP checks. FRESH Match provides a dollar-for-dollar match on all federal benefits spent at market.","NA","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","Crystal City","ART 43; Metrobus 10A, 23A/B",47,"USCGeocoder",78.1318,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","12749.5896252729","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8556723030847,-77.0486633037504,"Exact"
"48","Dar Al-Hijrah Islamic Center","NA","Food pantry","Dar Al-Hijrah Islamic Center","3159 Row St.","Arlington","Virginia","22044","Weekly","Thursday","9 - 11 AM","Year-round","Tahani Jabarin","socialservices@hijrah.org","703-531-2905","https://hijrah.org/socialservices/foodbank/","Register online at https://hijrah.org/covidrelief-apply/","Supplemental groceries usually including bread, produce, shelf-stable food items and halal meat.","Open to All","0","1","0","0","0","0","0","1","0","1","1","0","NA","0","0","1","1","0","NA","Metrobus 1A, 4B, 28A",48,"USCGeocoder",46.8816,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","13206.8082137005","ArealInterpolationGeometricCentroid","Parcel","96","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8616601456036,-77.1464607925226,"Relaxed"
"49","Food For Others","NA","Food pantry","Columbia Knoll Condos","750 S Dickerson St","Arlington","Virginia","22204","Twice weekly","Monday, Tuesday","0.75","Year-round","April Frazier Simmons","afrazier@foodforothers.org","703-207-9173 x 104","https://www.foodforothers.org/neighborhood-sites/","N/A","Produce donated from grocery stores and shelf stable pantry items.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41, 45, 75; Metrobus 16A/C/E/G/H, 22A",49,"USCGeocoder",62.4977,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1453.12059603859","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8586250198455,-77.1150016084971,"Exact"
"50","Food For Others","NA","Food pantry","Barcroft recycling center parking lot","Corner of Columbia Pike & Four Mile Run Dr/South Buchanan St.","Arlington","Virginia","22204","Twice weekly","Monday, Tuesday","0.770833333","Year-round","April Frazier Simmons","afrazier@foodforothers.org","703-207-9173 x 104","https://www.foodforothers.org/neighborhood-sites/","N/A","Produce donated from grocery stores and shelf stable pantry items.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 41, 45; Metrobus 16A/C/E/G/H, 22A",50,"USCGeocoder",31.2562,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","10647708.9559507","ArealInterpolationGeometricCentroid","USPSZip","60","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","1",38.859707,-77.095607,"Relaxed;Soundex"
"51","Food For Others","NA","Food pantry","Gunston Middle School (Entrance near soccer field)","2700 S Lang St","Arlington","Virginia","22206","Weekly","Tuesday","0.75","Year-round","April Frazier Simmons","afrazier@foodforothers.org","703-207-9173 x 104","https://www.foodforothers.org/neighborhood-sites/","N/A","Produce donated from grocery stores and shelf stable pantry items.","Open to all","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","NA","ART 87; Metrobus 10A/B, 23A/B",51,"USCGeocoder",0,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","79579.8705310456","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.847957311499,-77.0687335899499,"Relaxed"
"52","Gajin Ramen Shop","NA","Prepared Meals","Gajin Ramen Shop","3800 Lee Highway","Arlington","Virginia","22207","Upon Request","Upon Request","N/A","Year-round","Nicole & Tuvan (co-owners)","contact@gaijinramenshop.com","703-566-9236","https://www.gaijinramenshop.com/elderly-in-need","N/A","Hot vegetable ramen soup available for pickup for free for elderly who have limited resources.","Elderly in need.","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","NA","ART 55",52,"USCGeocoder",15.629,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1552.59621655068","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8963376823704,-77.1065011668475,"Exact"
"53","Good Company Doughnuts & CafÃ©","NA","Prepared Meals","Good Company Doughnuts & CafÃ©","672 N. Glebe Road","Arlington","Virginia","22203","Upon Request","Upon Request","N/A","Year-round","NA","gocodough@gocodough.com","703-243-3000","https://gocodough.com/","N/A","Free lunches for school-aged kids in need and free delivery for seniors.","School aged child or elderly","1","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","Ballston","ART 41, 42, 51, 72, 75; Metrobus 1A, 2A, 10B, 22A, 23B/T, 25B, 38B",53,"USCGeocoder",0,1,"4.1","","","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","3305.26691999089","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","1",38.8784943532609,-77.1116702261698,"Exact"
"54","ICNA Relief","NA","Food pantry","Baitul Mukarram Masjid","2116 South Nelson Street","Arlington","Virginia","22204","Monthly","2nd Friday of the month","1 - 2 PM","Year-round","Akmal Hussain","akmal.hussain@icnarelief.org","Â 917-943-8361","NA","Same as main contact info.","NA","Open to all","0","1","0","0","0","0","0","0","0","1","0","0","NA","0","0","0","0","0","NA","ART 77, 84; Metrobus 10B, 23A/B/T",54,"USCGeocoder",46.7446,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","733.366118438542","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8495795522453,-77.0905570266283,"Relaxed"
"55","ICNA Relief","NA","Food pantry","DHIC","824 S. Quincy St.","Arlington","Virginia","22204","Monthly","1st Friday of the month","1 - 2 PM","Year-round","Akmal Hussain","akmal.hussain@icnarelief.org","Â 917-943-8361","NA","Same as main contact info.","NA","Open to all","0","1","0","0","0","0","0","0","0","1","0","0","NA","0","0","0","0","0","NA","ART 41, 45, 72; Metrobus 16A/C/E/G/H, 22A, 23A/B/T",55,"USCGeocoder",31.2504,1,"4.1","","","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","547.871559292078","ArealInterpolationGeometricCentroid","Parcel","99","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","1",38.8617071334718,-77.0999587303729,"Relaxed"
